hour,hourly_actual_aqi,hourly_predicted_aqi,accuracy
2020-12-13 13:00:00,166.990832455216,244.44359,53.618558178999805
2020-12-13 16:00:00,179.58935721812435,276.03235,46.2980474407784
2020-12-13 17:00:00,178.6496311907271,487.23764,-72.73363909757109
2020-12-13 18:00:00,171.33835616438355,73.47177,42.88109964691438
2020-12-13 19:00:00,160.72771338250791,223.89389,60.69988450092275
2020-12-14 00:00:00,171.99926238145417,257.02402,50.566790941251156
2020-12-14 07:00:00,218.92531914893615,458.0237,-9.214591504880687
2020-12-14 08:00:00,229.4782978723404,423.65967,15.381379460800517
2020-12-14 16:00:00,108.84899082568808,218.25159,-0.5085993526323875
2020-12-14 18:00:00,80.36804347826086,252.7559,-114.49801962609226
2020-12-14 19:00:00,449.7735156771181,325.11856,72.284949971223
