day,daily_actual_aqi,daily_predicted_aqi,accuracy
2021-03-08,260.18445682384515,243.58936,93.62179372370015
2021-03-09,235.4523961547116,163.61002,69.48751362956415
2021-03-10,293.6184449875407,223.21878,76.02341893985921
2021-03-11,270.6755800657943,291.6957,92.23419816534174
2021-03-12,249.9062958638301,248.89377,99.59483711693484
2021-03-13,276.0020059421123,174.06323,63.06593020138499
2021-03-14,224.76172743068258,217.36275,96.70807822894062
2021-03-15,197.30379857129958,196.83687,99.76334450297061
2021-03-16,221.5327437801454,189.51994,85.54940457262109
2021-03-17,303.9439941537282,276.9615,91.12253972563288
2021-03-18,344.56554954954953,268.17264,77.82920790834578
2021-03-19,186.23764968423583,238.62352,71.8714930616635
2021-03-20,228.2901652166225,275.6886,79.23763672814638
2021-03-21,198.27073774655202,251.18407,73.31258781437145
